x_dat	y_dat	z_dat
49	88	36
45	97	5
98	19	67
59	68	37
63	82	2
9	98	66
24	41	13
27	26	34
16	35	13
89	10	94
40	5	35
NaN	NaN	NaN
52.3120874968275	104.955748888285	15.7479053742509
39.7068769238134	30.5523009655987	38.3584251300215
115.034081697664	21.7007443852032	59.0093855692481
52.9022086705269	9.95408218070221	34.8092557928789
61.1638129975363	92.4754460154754	44.4513719917702
33.3396548068803	47.8360166179612	20.0354435014241
71.3862487749343	72.7856801953634	41.4823774269177
69.7684738052698	90.9256066263794	8.23593591470684
110.422846920124	9.32787468123956	85.7796789765896
26.2167916271853	97.7384769446263	81.2074082685375
25.4938040379784	41.6559081431044	20.5343272064354
